State, ,Prevalence,95% CI,Latitude,Longitude,City
Alabama,AL,39.9,"(37.9, 41.8)",32.6010112,-86.6807365,Alabama
Alaska,AK,33.5,"(31.5, 35.5)",61.3025006,-158.7750198,Alaska
Arizona,AZ,31.3,"(30.0, 32.6)",34.1682185,-111.930907,Arizona
Arkansas,AR,38.7,"(36.6, 40.8)",34.7519275,-92.1313784,Arkansas
California,CA,27.6,"(26.1, 29.1)",37.2718745,-119.2704153,California
Colorado,CO,25.1,"(24.1, 26.2)",38.9979339,-105.550567,Colorado
Connecticut,CT,30.4,"(28.9, 31.9)",41.5187835,-72.757507,Connecticut
Delaware,DE,33.9,"(31.8, 36.1)",39.145251,-75.4189206,Delaware
District of Columbia,DC,24.7,"(22.6, 26.9)",38.8993487,-77.0145666,District of Columbia
Florida,FL,0,0,27.9757279,-83.8330166,Florida
Georgia,GA,33.9,"(32.2, 35.6)",32.6781248,-83.2229757,Georgia
Guam,GU,33.5,"(29.2, 38.1)",20.46,,
Hawaii,HI,25,"(23.6, 26.4)",45.4945756,-157.505,Hawaii
Idaho,ID,31.6,"(30.2, 33.0)",39.739318,-114.1424303,Idaho
Illinois,IL,34.2,"(31.8, 36.6)",39.7662195,-89.504139,Illinois
Indiana,IN,36.3,"(35.1, 37.5)",41.9383166,-86.441277,Indiana
Iowa,IA,36.4,"(35.1, 37.7)",38.4987789,-93.389798,Iowa
Kansas,KS,36,"(35.1, 37.0)",37.8222935,-98.3200779,Kansas
Kentucky,KY,40.3,"(38.5, 42.2)",30.9733766,-85.7682399,Kentucky
Louisiana,LA,38.6,"(36.7, 40.6)",45.2185133,-91.4299097,Louisiana
Maine,ME,31.9,"(30.6, 33.2)",38.8063524,-69.0148656,Maine
Maryland,MD,34.3,"(33.2, 35.5)",42.0629398,-77.2684162,Maryland
Massachusetts,MA,27.4,"(25.9, 28.8)",44.9435598,-71.718067,Massachusetts
Michigan,MI,34.4,"(33.1, 35.7)",46.4418595,-86.4158049,Michigan
Minnesota,MN,32.4,"(31.5, 33.3)",32.5851062,-93.3655146,Minnesota
Mississippi,MS,39.1,"(37.1, 41.1)",38.3046615,-89.8772196,Mississippi
Missouri,MO,37.3,"(35.9, 38.7)",46.6797995,-92.437099,Missouri
Montana,MT,31.8,"(30.3, 33.3)",41.5008195,-110.044783,Montana
Nebraska,NE,35.9,"(34.8, 37.1)",38.502032,-99.680902,Nebraska
Nevada,NV,31.3,"(28.7, 34.1)",44.0012306,-117.0230604,Nevada
New Hampshire,NH,30.6,"(29.0, 32.3)",40.1430058,-71.5799231,New Hampshire
New Jersey,NJ,28.2,"(26.8, 29.6)",34.1662325,-74.7311156,New Jersey
New Mexico,NM,34.6,"(32.9, 36.3)",40.7056258,-106.0260685,New Mexico
New York,NY,29.1,"(28.3, 30.0)",35.2145629,-73.97968,New York
North Carolina,NC,36,"(34.2, 37.9)",47.4678819,-79.8912675,North Carolina
North Dakota,ND,35.2,"(33.6, 36.9)",40.1903624,-100.3022655,North Dakota
Ohio,OH,37.8,"(36.6, 39.0)",35.3097654,-82.6692525,Ohio
Oklahoma,OK,39.4,"(37.7, 41.2)",44.1419049,-98.7165585,Oklahoma
Oregon,OR,30.4,"(28.9, 31.9)",40.9945928,-120.5380993,Oregon
Pennsylvania,PA,33.3,"(31.7, 34.9)",41.5827282,-77.6046984,Pennsylvania
Puerto Rico,PR,36,"(33.9, 38.1)",33.62505,,
Rhode Island,RI,30.1,"(28.4, 31.8)",44.2126995,-71.5064508,Rhode Island
South Carolina,SC,36.1,"(34.6, 37.5)",35.830521,-80.9470381,South Carolina
South Dakota,SD,38.4,"(35.6, 41.4)",31.1693363,-100.2471641,South Dakota
Tennessee,TN,35,"(33.1, 36.8)",39.4997605,-85.9785989,Tennessee
Texas,TX,36.1,"(34.4, 37.8)",43.8717545,-100.0768425,Texas
Utah,UT,30.9,"(29.8, 32.1)",38.0033855,-111.547028,Utah
Vermont,VT,29,"(27.4, 30.7)",38.8993487,-72.4477828,Vermont
Virgin Islands,VI,35.6,"(28.7, 43.2)",38.9201705,,
Virginia,VA,34.2,"(32.9, 35.6)",44.7862968,-79.4587861,Virginia
Washington,WA,28.8,"(27.7, 29.9)",43.000325,-77.0145665,Washington
West Virginia,WV,40.6,"(39.1, 42.1)",,-80.1816905,West Virginia
Wisconsin,WI,33.9,"(32.1, 35.7)",,-89.8267049,Wisconsin
Wyoming,WY,32,"(29.9, 34.1)",,-107.5545669,Wyoming
